article_id,date,time_published_input,category,source,url,title,date_published(재수집),date_modified(재수집),effective_exposure_time(=max),rescrape_status
news_20260227_섹터_0020,2026-02-27,08:19,섹터,mk,https://www.mk.co.kr/news/business/11974145,"“HBM 다음 먹거리도 든든”…하이닉스, 샌디스크 손잡고 선점 나선 것은",,,,
news_20260227_경제_0003,2026-02-27,08:57,경제,mk,https://www.mk.co.kr/news/economy/11974178,"쿠팡 김범석, 정보 유출 첫 사과…“고객 심려 끼쳐 사과, 기대에 부응”",,,,
news_20260227_섹터_0026,2026-02-27,09:39,섹터,mk,https://www.mk.co.kr/news/stock/11974233,"[MK시그널] 한전기술, 영업이익 139% 급증 전망 및 글로벌 SMR 선점 등에 주가 상승세... MK시그널 추천 후 상승률 25.03% 기록",,,,
news_20260227_섹터_0028,2026-02-27,09:51,섹터,mk,https://www.mk.co.kr/news/business/11974255,메모리칩 부족 ‘쓰나미’에...스마트폰 출하량 10년만에 최저 수준 전망,,,,
news_20260227_섹터_0030,2026-02-27,10:06,섹터,mk,https://www.mk.co.kr/news/stock/11974284,"이재용 회장 주식재산 사상 첫 40조 돌파…10조 넘는 인원도 8명, 누구길래",,,,
news_20260227_섹터_0032,2026-02-27,10:26,섹터,mk,https://www.mk.co.kr/news/stock/11974329,주주환원 정책 강화에 초고수 주목받는 금융섹터 최선호주는 ‘이것’ [주식 초고수는 지금],,,,
news_20260227_섹터_0034,2026-02-27,10:42,섹터,mk,https://www.mk.co.kr/news/stock/11974359,국민연금 “갓스피 덕에 231조 벌었습니다”…年수익률 18.8% 역대최고,,,,
news_20260227_경제_0005,2026-02-27,11:33,경제,mk,https://www.mk.co.kr/news/economy/11974464,"“형님들 잘 나가니, 허리까지 든든”…반도체 훈풍에 중견기업 수출도 ‘역대 최대’",,,,
news_20260227_경제_0006,2026-02-27,13:27,경제,mk,https://www.mk.co.kr/news/economy/11974502,"“전세계 휩쓸더니 수출 114억달러, 또 신기록”…해외가 먹여살린 K뷰티",,,,
news_20260227_섹터_0035,2026-02-27,13:59,섹터,mk,https://www.mk.co.kr/news/business/11974533,한미반도체 고성능 메모리장비 세계 첫 출시...美반도체 기업 공급,,,,
news_20260227_경제_0008,2026-02-27,14:11,경제,mk,https://www.mk.co.kr/news/economy/11974544,게으른 토끼도 아니었는데…어느새 중국에 추월당한 한국 [기자24시],,,,
news_20260227_경제_0011,2026-02-27,15:21,경제,mk,https://www.mk.co.kr/news/economy/11974664,민간 주도 ‘우주 대항해 시대’...‘한국판 스페이스X’ 신호탄 쐈지만…,,,,
news_20260227_종목_0039,2026-02-27,17:33,종목,mk,https://www.mk.co.kr/news/culture/11974838,"韓 성장정체 뚫을 권오현 해법 ""이젠 인재 초격차로 승부하라""",,,,
